name,longitude,latitude
golden canard,2.361462,48.8330845
Au Petit Village,2.3561953,48.8332913
Lefty,2.3412257,48.870767
Tenzin Cuisine Tibétaine,2.3414589,48.8709509
Culottée Café,2.3417628,48.870606
Aux Bon Petit Plats,2.3420918,48.8705891
Café d'Italie,2.3546768,48.8321364
El Sol y la Luna,2.3459943,48.8512993
L'Oraziano,2.3589131,48.8355997
Top Pizza,2.3587223,48.8353091
Au Palais Royal,2.3823173,48.8723117
Aki,2.3353287,48.8661465
Le Royal Palace,2.2970328,48.8374265
Wassana,2.3270688,48.8861847
Restorante Verdi,2.3587424,48.8321878
L'Inédit Café,2.3917674,48.8375203
Le Café de Paris,2.337574,48.853884
Pizza Hut,2.4023587,48.869584
Sushi Tokyo,2.3825494,48.8830692
Restaurant indien,2.3840684,48.8839003
Les Petits Plats,2.322275,48.8286167
Le Grand Comptoir,2.3226894,48.8291859
Le Pavé,2.3498201,48.8590612
Le Maguey,2.3775378,48.8475509
Khun Akorn,2.3981379,48.8496002
Gül,2.3887673,48.8524264
Fleur D'Asie,2.3993213,48.8517234
Feng Sheng,2.3569121,48.8646132
Temple Céleste,2.3569392,48.8650523
Tokyo Yaki,2.3303431,48.8276417
Asahi,2.3298869,48.8289613
Le Florissant,2.3329403,48.8289244
Pacifique,2.3796868,48.873054
Pizzeria Taormina Convention,2.297421,48.837631
La Renaissance,2.3396928,48.895866
One More Sushi,2.3338248,48.8794178
Le Clos Y,2.3209463,48.8429862
,2.2987363,48.8386044
Restaurant Paul,2.3422554,48.8563329
Les Tontons,2.3029584,48.8319427
,2.3474694,48.8595754
Les Tours de Notre-Dame,2.3494187,48.853629
Delhicious,2.3451124,48.8600943
Ristorante Tavola Calda,2.3454225,48.8604674
McDonald's,2.3460938,48.8593376
Café Vigouroux,2.3469837,48.8597061
Upper Café,2.3474167,48.8599442
McDonald's,2.3482188,48.8610121
Quick,2.3488775,48.8601971
Midory,2.3423684,48.8612791
Le Brun,2.343211,48.8612719
Au Chien qui Fume,2.3448441,48.8613541
Loup,2.342597,48.8639344
Nelsons,2.343122,48.8636804
Changhai Hang-Tcheou,2.341854,48.8602965
La Bague de Kenza,2.3408621,48.861853
Palais Royal Hong-Kong,2.3398888,48.8622685
Joe Allen,2.3490562,48.8635373
Pastapapa,2.3498973,48.8631582
Le Petit Bouillon Pharamond,2.3484965,48.8629978
Comptoir de la Gastronomie,2.3454436,48.8644966
La Perla,2.3462319,48.863369
Deliziefollie,2.3462496,48.8634248
Baan Raï,2.3438023,48.8640954
Casa Festa,2.3407883,48.8625475
A Casaluna,2.3390538,48.8660743
Le Festival,2.3369261,48.8656093
Kunitoraya,2.335484,48.866393
Sapporo,2.3354494,48.8663406
Higuma,2.335775,48.8666001
Hakata,2.3349296,48.8671593
The alley,2.3347785,48.8671939
Pret A Manger,2.3346634,48.8672037
Sanukiya,2.3338346,48.8646841
La Cave de L'Os à Moelle,2.2819311,48.8380436
Koyuki,2.2964549,48.8447867
Akasaka (아가사가),2.285841,48.8475784
O Fil Rouge,2.2869808,48.8481999
Le Pain Quotidien,2.3317318,48.8663779
Big Fernand,2.3325601,48.8674622
Kinugawa Vendôme,2.3289665,48.8655302
Rivoli Park,2.3291994,48.864782
Yako,2.2895333,48.8517565
Au Royal Couscous,2.2872737,48.8527624
Tang Gourmet,2.3778604,48.8722076
Lauretta,2.3751222,48.8741795
Gubine,2.3360878,48.8673175
Sushi B,2.337428,48.8677062
Hippopotamus,2.333885,48.8707437
Hang Ari,2.336662,48.8683544
Le Sâotico,2.3395281,48.8705949
Au P'tit Paname,2.3407937,48.8716597
Five Guys,2.3320084,48.8703436
La Piazzetta,2.3441863,48.8671849
,2.3549714,48.8443535
L'Etoile du Bonheur,2.3550622,48.8448383
Aux Délices de Jussieu,2.3541793,48.8465773
Cada di Panini,2.3553999,48.8457867
King Marcel,2.3428931,48.8705145
Circonstances,2.3430313,48.8709155
Starbucks,2.3468928,48.8706525
L'Empire Bar,2.347255,48.8674968
Lézard Café,2.3463101,48.8646564
La Cevicheria,2.3453821,48.8661652
Le Petit Orgueil,2.3474928,48.8651004
Kuccini,2.3503213,48.8652607
LA BOULE MAITRE KEBABIER,2.350269,48.8645161
Twinkie Breakfast,2.3503508,48.8653281
Shabour,2.3490752,48.8659291
Shine Garden,2.3478949,48.8679902
Echo,2.348535,48.868271
Tong Fan,2.3519506,48.8696741
Mamie Burger,2.3484738,48.8703951
Nos Ancêtres Les Gaulois,2.3561108,48.8519507
McDonald's,2.3437555,48.85142
,2.3437875,48.8515164
Au Métro,2.3537904,48.8614606
Mini Ramen,2.3492175,48.8459612
Fuxia,2.3574259,48.855504
Buffalo Grill,2.3324889,48.8834373
Bo'Bon,2.3493115,48.8593929
Sun Café,2.3490548,48.859548
Cabana Beach,2.3488863,48.8592685
Le Bouche à Oreille,2.3518171,48.8274198
Kyo,2.3550583,48.8571168
Mama Mia,2.3323766,48.8271309
L'Attirail Café,2.3536613,48.8646409
L'Auberge de Nicolas Flamel,2.3531607,48.8635758
Matsu Sushi,2.3502159,48.8640231
Turbigo Sandwich,2.3503322,48.8640451
Benedict,2.3561158,48.858179
Allo Sushi,2.3572215,48.8564037
Café Pizz' du Trésor,2.3578174,48.8569706
Princesse Crêpe,2.3582299,48.8564093
Le Trésor,2.3576266,48.8570944
Le Circus,2.3471664,48.8259202
Maison Marais,2.3592343,48.8562386
Au Petit Thaï,2.3601724,48.8557934
La Comedia,2.3517797,48.8402209
Pitzman,2.3603985,48.8559169
Le Caruso,2.3631694,48.8550149
Au Bistrot de la Place,2.3630156,48.8553171
Soprano,2.3625817,48.8552064
Tamarind,2.3581927,48.8555544
Pamela Popo,2.3570094,48.8557611
El 4tro,2.3606593,48.8556412
Suave,2.3476244,48.8260343
Thé Vert,2.3633131,48.8549472
Auberge de Venise,2.3675235,48.8537619
Santa Carne,2.3673407,48.8549776
Hippopotamus Bastille,2.3685489,48.8538949
Autour du Saumon,2.3579276,48.8554539
L'Éléphant du Nil,2.3602451,48.8551687
Chez Mademoiselle,2.359967,48.8543977
L'Enoteca,2.361774,48.8533605
Delice House,2.3628958,48.8544815
Vins des Pyrénées,2.3643812,48.8536886
Au Bouquet Saint-Paul,2.3627527,48.8545334
Homies,2.3644281,48.8535779
Maeum,2.3666063,48.8519571
Hanano,2.3521691,48.8627538
Sacré Frenchy,2.3510474,48.8631985
Khatag,2.3509953,48.8619134
Shabu Sha,2.3546214,48.8644591
Le Noma,2.3577982,48.8674734
Giovanni Gelateria,2.3483593,48.8609788
KFC,2.34917,48.86075
La Massara,2.3594656,48.8661131
Le Soleil,2.393997,48.8751228
Tai Yien,2.3777058,48.8724778
Le Président,2.3765696,48.8717574
Panda Belleville,2.3768732,48.8714314
Lao Douang Paseuth,2.3614067,48.8189691
Tricotin 2,2.3637354,48.8208495
Chinatown Olympiades,2.3657389,48.823551
Namoo,2.3615997,48.8262413
Hoa Nam,2.3654521,48.8232934
Heng Lay,2.3652263,48.8237603
Honolulu,2.3564445,48.864592
Traiteur impériale Au maire,2.3563382,48.8646085
Shiso Burger,2.3453142,48.8533952
Le Bouledogue,2.3545725,48.8609387
+82,2.3473131,48.8409578
Mmmozza..!,2.3605988,48.8638859
Le Sancerre,2.3608969,48.8636674
Café de la Mairie,2.3610435,48.8635569
O'Tacos,2.361971,48.8665622
Chez le Libanais,2.3416729,48.8533184
Ramen Ruyi,2.3491347,48.8446579
La Briciola,2.3639954,48.8640247
Soma,2.362052,48.861502
Le Tournebievre,2.3508041,48.8511062
Inagiku,2.3518796,48.8498132
La Baieta,2.3522654,48.8501356
La Soummam,2.3500708,48.850967
Des Gars dans la Cuisine,2.3600214,48.8594649
Robert et Louise,2.3594863,48.8590769
Casse Croute Grec,2.3482038,48.8475041
Mezze du Liban,2.3800218,48.8624334
Les Bonnes Sœurs,2.3669544,48.8560566
The Brooklyn Pizzeria,2.3681748,48.8559327
Euro Fried Chicken,2.3512681,48.863507
Yaki,2.3408942,48.846324
Gogo Plus,2.3533978,48.8877015
Chez Prune,2.3645686,48.8716356
Le Cercle,2.3408953,48.8468855
Heng Tong,2.3796518,48.862517
La Gueuze,2.3413873,48.8470404
McDonald's,2.341008,48.847118
Columbus Café & Co,2.3413075,48.8470567
Burger King,2.341216,48.84745
Chez Bébert,2.324543,48.8438796
Chez Li,2.3548396,48.8643222
Neo Maki,2.354785,48.864427
Le Petit Colbert,2.3354843,48.8687006
Golden Food,2.3705923,48.8786152
Tokioyaki,2.3660922,48.8820694
Cristal Bar,2.364716,48.8812021
Flesh,2.3667841,48.8800787
Les 4 frères Bédri,2.3646743,48.8815223
La Cascade,2.3646071,48.8811695
La Dolce Vita,2.3701053,48.8760377
Salon de Thé de La Mosquée de Paris,2.3556271,48.8416802
Restaurant de La Mosquée de Paris,2.3556159,48.8417641
Les Crêpes du Jardin,2.3561671,48.8411075
Le Jardin de Jasmine,2.3562621,48.8411617
McDonald's,2.3636948,48.8430777
Pause Bobun,2.3633404,48.8429778
,2.3458273,48.8382571
I Diavoletti,2.34383,48.8410485
Pramil,2.3587095,48.8668325
Song Heng,2.3567983,48.864703
Le Lac de l'Ouest,2.3568498,48.8648409
Derrière,2.3541705,48.8643469
Chez Alain,2.3586507,48.8668432
Pizza Vesuvio,2.3340213,48.8533032
Léon de Bruxelles,2.3360296,48.8529586
BREIZH Café - Odéon,2.3388348,48.8516746
Starbucks,2.3394656,48.8519649
Le Choupinet,2.3407718,48.8477108
Hippopotamus,2.3534566,48.8801006
Bang!,2.363583,48.8744134
Clasico Argentino,2.3315803,48.8484552
Ristorante Caffe Toscano,2.330687,48.855109
Corso,2.3709895,48.8846989
La Coupole,2.3280738,48.8422661
Burger King,2.3137533,48.8941285
Evi Evane,2.3248797,48.8493818
Joséphine « Chez Dumonet »,2.3197897,48.8458223
My Noodles,2.3317354,48.8415014
La Bocca Della Verita,2.3313456,48.8530169
Le Canton,2.33368,48.8533815
La Crêpe Rit du Clown,2.333648,48.8523762
L'enfance de Lard,2.3340024,48.8518186
Oenosteria,2.3374608,48.852122
Le Germain,2.3367248,48.8537003
Alcazar,2.3379845,48.8545266
Café Jade,2.3378274,48.8538178
JEFP TRAITEUR,2.337737,48.8538312
